protocol,model,endpoint,budget,N,k,actual_budget_fraction,defined_seeds,mean_L,display_percent_L,cell_text
loco_decay,capacity_matched_deepsets,J,25%,113,28,0.24778761061946902,5,0.9566496857772717,95.66496857772717,95.7
loco_decay,capacity_matched_deepsets,J,50%,113,56,0.49557522123893805,5,0.9899827442203939,98.99827442203939,99
loco_log_variant,capacity_matched_deepsets,terminal,10%,69,6,0.08695652173913043,5,0.9713821194612408,97.13821194612407,97.1
loco_log_variant,capacity_matched_deepsets,terminal,25%,69,17,0.2463768115942029,5,1.0,100.0,100
loco_log_variant,capacity_matched_deepsets,terminal,50%,69,34,0.4927536231884058,5,0.9967279600842518,99.67279600842518,99.7
loco_log_variant,capacity_matched_deepsets,J,10%,69,6,0.08695652173913043,5,0.9987893986259186,99.87893986259186,99.9
loco_log_variant,capacity_matched_deepsets,J,25%,69,17,0.2463768115942029,5,1.0,100.0,100
loco_log_variant,capacity_matched_deepsets,J,50%,69,34,0.4927536231884058,5,0.9999999999999994,99.99999999999994,100
loco_external_fire,capacity_matched_deepsets,terminal,10%,49,4,0.08163265306122448,5,0.720242029452741,72.0242029452741,72
loco_external_fire,capacity_matched_deepsets,terminal,25%,49,12,0.24489795918367346,5,0.8123088428938662,81.23088428938662,81.2
loco_external_fire,capacity_matched_deepsets,terminal,50%,49,24,0.4897959183673469,5,0.8364677936857454,83.64677936857454,83.6
loco_external_fire,capacity_matched_deepsets,J,10%,49,4,0.08163265306122448,5,0.7345806289938072,73.45806289938072,73.5
loco_external_fire,capacity_matched_deepsets,J,25%,49,12,0.24489795918367346,5,0.7987978907845906,79.87978907845907,79.9
loco_external_fire,capacity_matched_deepsets,J,50%,49,24,0.4897959183673469,5,0.9304745190636728,93.04745190636729,93
loco_bilinear,capacity_matched_deepsets,terminal,10%,77,7,0.09090909090909091,5,0.9799539309848875,97.99539309848875,98
loco_bilinear,capacity_matched_deepsets,terminal,25%,77,19,0.24675324675324675,5,0.9809001305471554,98.09001305471554,98.1
loco_bilinear,capacity_matched_deepsets,terminal,50%,77,38,0.4935064935064935,5,0.9253476845951216,92.53476845951216,92.5
loco_bilinear,capacity_matched_deepsets,J,10%,77,7,0.09090909090909091,5,0.9908040801592508,99.08040801592509,99.1
loco_bilinear,capacity_matched_deepsets,J,25%,77,19,0.24675324675324675,5,0.9646863581840541,96.46863581840542,96.5
loco_bilinear,capacity_matched_deepsets,J,50%,77,38,0.4935064935064935,5,0.9232807384151608,92.32807384151607,92.3
loco_linear,capacity_matched_deepsets,terminal,10%,125,12,0.096,5,1.0,100.0,100
loco_linear,capacity_matched_deepsets,terminal,25%,125,31,0.248,5,0.9937186119514625,99.37186119514625,99.4
loco_linear,capacity_matched_deepsets,terminal,50%,125,62,0.496,5,0.9937213951696193,99.37213951696194,99.4
loco_linear,capacity_matched_deepsets,J,10%,125,12,0.096,5,1.0000000000000007,100.00000000000007,100
loco_linear,capacity_matched_deepsets,J,25%,125,31,0.248,5,0.992358211243889,99.2358211243889,99.2
loco_linear,capacity_matched_deepsets,J,50%,125,62,0.496,5,0.9959274686278002,99.59274686278002,99.6
loco_smoldering,capacity_matched_deepsets,terminal,10%,97,9,0.09278350515463918,5,0.8108751041395547,81.08751041395547,81.1
loco_smoldering,capacity_matched_deepsets,terminal,25%,97,24,0.24742268041237114,5,1.0,100.0,100
loco_smoldering,capacity_matched_deepsets,terminal,50%,97,48,0.4948453608247423,5,1.0,100.0,100
loco_smoldering,capacity_matched_deepsets,J,10%,97,9,0.09278350515463918,5,0.9446361631094758,94.46361631094759,94.5
loco_smoldering,capacity_matched_deepsets,J,25%,97,24,0.24742268041237114,5,1.0000000000000537,100.00000000000537,100
loco_smoldering,capacity_matched_deepsets,J,50%,97,48,0.4948453608247423,5,1.0,100.0,100
iid997,gnn,terminal,10%,160,16,0.1,5,0.9898027996978038,98.98027996978038,99
iid997,gnn,terminal,25%,160,40,0.25,5,0.9947471964400094,99.47471964400094,99.5
