protocol,contrast,baseline,candidate,endpoint,budget,N,k,independent_seed_count,U_baseline_minus_candidate_defined_seeds,U_baseline_minus_candidate_mean,U_baseline_minus_candidate_sample_sd,U_baseline_minus_candidate_min,U_baseline_minus_candidate_max
loco_perturbed_iso,mean_vs_sum,gnn,gnn_mean,terminal,10%,111,11,5,5,5.4190714250912377e-05,0.0013781926591520468,-0.0009227445857091371,0.002465762875296852
loco_perturbed_iso,mean_vs_sum,gnn,gnn_mean,terminal,25%,111,27,5,5,8.788070193041508e-06,0.000656563873577399,-0.000862638155619308,0.0009291242394182386
loco_perturbed_iso,mean_vs_sum,gnn,gnn_mean,terminal,50%,111,55,5,5,-0.0002496189149943262,0.0003128380808804473,-0.000572814521464432,0.00010460222309285894
loco_perturbed_iso,mean_vs_sum,gnn,gnn_mean,J,10%,111,11,5,5,-9.84121452679565e-06,0.002320145319989599,-0.0030379442159425007,0.0027308974076400983
loco_perturbed_iso,mean_vs_sum,gnn,gnn_mean,J,25%,111,27,5,5,-6.477508601949733e-05,0.00035801688903128854,-0.0005936922045585158,0.00027619081399871126
loco_perturbed_iso,mean_vs_sum,gnn,gnn_mean,J,50%,111,55,5,5,1.9716706804262517e-05,0.00015152931310562245,-0.00022964002169445497,0.00014807503444685954
loco_plateau,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,10%,103,10,5,5,0.0007150287553668033,0.0004307270343674871,0.00030696000903844903,0.0014277907088398947
loco_plateau,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,25%,103,25,5,5,0.000248709082603453,0.0004005161930827687,-0.00040526986122131625,0.0005865673720836587
loco_plateau,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,50%,103,51,5,5,5.5343847648769984e-05,7.578268444090143e-05,0.0,0.00013835961912192496
loco_plateau,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,10%,103,10,5,5,0.0006170454236368528,0.0009365098893295268,-0.0007718801591545255,0.0015051934961229918
