protocol,model,seed,endpoint,budget,N,k,diagnostic_only,U,regret_raw,regret_display,improvement_over_random,oracle_improvement_fraction,cutoff_score,strictly_selected_count,cutoff_tied_count,selected_from_cutoff_tie
iid997,global_stats,43,terminal,10%,160,16,True,0.037995707301888615,0.001724175177514553,0.001724175177514553,0.21248402920900844,0.9919509377222386,0.05143645778298378,15,1,1
iid997,global_stats,43,terminal,25%,160,40,True,0.04748007843736559,0.0014975561760365921,0.0014975561760365921,0.20299965807353146,0.9926768871569615,0.05520021915435791,39,1,1
iid997,global_stats,43,terminal,50%,160,80,True,0.05800770261557773,0.00025713173672557016,0.00025713173672557016,0.19247203389531933,0.9986658389980452,0.12892331182956696,79,1,1
iid997,global_stats,43,J,10%,160,16,True,0.3322329017480418,0.0016627585398964473,0.0016627585398964473,0.17816217728481815,0.9907534595673804,0.3525451086151103,15,1,1
iid997,global_stats,43,J,25%,160,40,True,0.3485856493799656,0.002894012655597189,0.002894012655597189,0.16180942965289435,0.9824289485694132,0.35891290192181863,39,1,1
iid997,global_stats,43,J,50%,160,80,True,0.35869913446661184,0.0005265415506437443,0.0005265415506437443,0.15169594456624813,0.9965409739120973,0.3750717560450236,79,1,1
iid997,global_stats,44,terminal,10%,160,16,True,0.03878768492722884,0.0025161528028547764,0.0025161528028547764,0.21169205158366822,0.9882537048006128,0.050770655274391174,15,1,1
iid997,global_stats,44,terminal,25%,160,40,True,0.047759812162257734,0.0017772899009287357,0.0017772899009287357,0.20271992434863934,0.9913089774476843,0.05541355535387993,39,1,1
iid997,global_stats,44,terminal,50%,160,80,True,0.05789034870686009,0.0001397778280079337,0.0001397778280079337,0.19258938780403695,0.9992747448080858,0.12482690811157227,79,1,1
iid997,global_stats,44,J,10%,160,16,True,0.3322329017480418,0.0016627585398964473,0.0016627585398964473,0.17816217728481815,0.9907534595673804,0.3536094680738946,15,1,1
iid997,global_stats,44,J,25%,160,40,True,0.34854870431168816,0.0028570675873197393,0.0028570675873197393,0.1618463747211718,0.9826532612356188,0.36050044077758986,39,1,1
iid997,global_stats,44,J,50%,160,80,True,0.35869913446661184,0.0005265415506437443,0.0005265415506437443,0.15169594456624813,0.9965409739120973,0.3759112174933155,79,1,1
