model,sample_id,seed_mean_case_MAE,MAE_percentage_points,cumulative_fraction
global_stats,b005_0513,0.00844159046890298,0.844159046890298,0.53125
global_stats,b005_0688,0.00845814967741726,0.8458149677417259,0.5375
global_stats,b005_0086,0.0084741756319999,0.8474175631999901,0.54375
global_stats,b005_0047,0.0084833787479361,0.84833787479361,0.55
global_stats,b004_0022,0.00851580564115864,0.8515805641158639,0.55625
global_stats,b004_0356,0.00859601349859936,0.859601349859936,0.5625
global_stats,b005_0376,0.00860587413438026,0.860587413438026,0.56875
global_stats,b004_0082,0.00867683769005238,0.8676837690052379,0.575
global_stats,b004_0003,0.00872240528220032,0.872240528220032,0.58125
global_stats,b005_0612,0.0087438043023719,0.8743804302371899,0.5875
global_stats,b005_0356,0.00878139441130584,0.878139441130584,0.59375
global_stats,b005_0508,0.00886092609802224,0.8860926098022239,0.6
global_stats,b004_0258,0.00895541088014346,0.8955410880143461,0.60625
global_stats,b005_0559,0.00896234434159068,0.896234434159068,0.6125
global_stats,b004_0070,0.00898386224127202,0.898386224127202,0.61875
global_stats,b005_0709,0.00909992182841062,0.909992182841062,0.625
global_stats,b005_0049,0.0091468679123237,0.9146867912323701,0.63125
global_stats,b005_0446,0.00940835471036,0.9408354710360001,0.6375
global_stats,b005_0033,0.00945413394785312,0.9454133947853121,0.64375
global_stats,b005_0516,0.00957803119157176,0.9578031191571759,0.65
global_stats,b005_0684,0.00958365749140248,0.958365749140248,0.65625
global_stats,b004_0013,0.009646304574657599,0.9646304574657599,0.6625
global_stats,b005_0569,0.00972038038441388,0.972038038441388,0.66875
global_stats,b005_0266,0.00978560564947904,0.9785605649479039,0.675
global_stats,b005_0350,0.00987705036264948,0.987705036264948,0.68125
global_stats,b005_0575,0.00995908711777352,0.9959087117773521,0.6875
global_stats,b004_0006,0.010085636010912561,1.0085636010912562,0.69375
global_stats,b005_0467,0.01027429695012136,1.027429695012136,0.7
global_stats,b004_0215,0.01040008725201494,1.040008725201494,0.70625
global_stats,b005_0231,0.01042679509178534,1.0426795091785341,0.7125
global_stats,b005_0660,0.01057285847233938,1.057285847233938,0.71875
global_stats,b004_0185,0.0106191007939518,1.06191007939518,0.725
global_stats,b005_0119,0.010804729102576299,1.0804729102576298,0.73125
global_stats,b005_0121,0.01084850160557708,1.0848501605577079,0.7375
global_stats,b005_0537,0.01084972020299704,1.084972020299704,0.74375
global_stats,b005_0361,0.010955368019029719,1.0955368019029719,0.75
global_stats,b005_0062,0.01101861166172334,1.101861166172334,0.75625
global_stats,b005_0217,0.0111005262761819,1.11005262761819,0.7625
global_stats,b005_0418,0.011234548150515899,1.12345481505159,0.76875
global_stats,b005_0170,0.011238419569906599,1.12384195699066,0.775
global_stats,b004_0300,0.011322658838795779,1.1322658838795778,0.78125
global_stats,b005_0578,0.01141787151821322,1.141787151821322,0.7875
global_stats,b005_0690,0.0114484203154923,1.14484203154923,0.79375
global_stats,b005_0098,0.011489573963841421,1.1489573963841422,0.8
global_stats,b004_0253,0.0115588848463824,1.15588848463824,0.80625
global_stats,b005_0120,0.01192870284201664,1.192870284201664,0.8125
global_stats,b005_0310,0.012004618175694159,1.200461817569416,0.81875
global_stats,b004_0367,0.012276252273653341,1.227625227365334,0.825
global_stats,b005_0205,0.01230104111257142,1.230104111257142,0.83125
global_stats,b005_0444,0.012395776881546219,1.2395776881546219,0.8375
global_stats,b005_0303,0.01243039353361318,1.243039353361318,0.84375
global_stats,b005_0505,0.01259818144264766,1.259818144264766,0.85
global_stats,b005_0545,0.012856206261232201,1.2856206261232201,0.85625
global_stats,b005_0209,0.012981628199092621,1.298162819909262,0.8625
global_stats,b005_0672,0.01339635394635744,1.339635394635744,0.86875
global_stats,b005_0554,0.01417429857566704,1.417429857566704,0.875
global_stats,b005_0654,0.014176773145550539,1.4176773145550539,0.88125
global_stats,b005_0610,0.014404249484421722,1.4404249484421723,0.8875
global_stats,b005_0548,0.01461380511278006,1.461380511278006,0.89375
global_stats,b004_0282,0.014744034507235498,1.4744034507235497,0.9
global_stats,b004_0342,0.015088485401184801,1.5088485401184801,0.90625
global_stats,b005_0242,0.01520788524238784,1.520788524238784,0.9125
global_stats,b005_0019,0.01532549635797244,1.5325496357972441,0.91875
global_stats,b005_0651,0.0158128055392718,1.58128055392718,0.925
global_stats,b005_0185,0.01612532832583436,1.612532832583436,0.93125
global_stats,b005_0323,0.01628230624511588,1.6282306245115878,0.9375
global_stats,b004_0039,0.01662122329971824,1.6621223299718242,0.94375
global_stats,b005_0680,0.01665076784423134,1.6650767844231342,0.95
global_stats,b005_0070,0.0171246304741648,1.71246304741648,0.95625
