example,sample_id,time_s,reference,prescribed_temperature_C,capacity_matched_deepsets_seed42,gnn_seed42,capacity_matched_deepsets_min,gnn_min,capacity_matched_deepsets_max,gnn_max
1,b005_0291,1740.0,0.3984684348106384,746.7782592773438,0.4004773199558258,0.4014475643634796,0.38697031140327454,0.3869953453540802,0.4004773199558258,0.4014475643634796
1,b005_0291,1800.0,0.3957045376300812,751.2792358398438,0.39079010486602783,0.39227214455604553,0.3774690330028534,0.37947356700897217,0.39079010486602783,0.39227214455604553
1,b005_0291,1860.0,0.38326945900917053,755.6332397460938,0.3813517987728119,0.3831162750720978,0.368513286113739,0.37211889028549194,0.3813517987728119,0.3831162750720978
1,b005_0291,1920.0,0.37731143832206726,759.8494873046875,0.37217509746551514,0.37303486466407776,0.35991859436035156,0.36389774084091187,0.37217509746551514,0.37303486466407776
1,b005_0291,1980.0,0.3719046711921692,763.9365234375,0.3622875511646271,0.36314550042152405,0.3517810106277466,0.35407137870788574,0.3622875511646271,0.36314550042152405
1,b005_0291,2040.0,0.351779043674469,767.9019775390625,0.3524743318557739,0.3534296452999115,0.3427302837371826,0.344485342502594,0.3524743318557739,0.3534296452999115
1,b005_0291,2100.0,0.33878254890441895,771.7528686523438,0.34279388189315796,0.34386885166168213,0.33351004123687744,0.3351125121116638,0.34279388189315796,0.34386885166168213
1,b005_0291,2160.0,0.33183753490448,775.4956665039062,0.33346977829933167,0.3344017267227173,0.32458850741386414,0.3259326219558716,0.33346977829933167,0.3344017267227173
1,b005_0291,2220.0,0.326273113489151,779.13623046875,0.32365044951438904,0.3249957263469696,0.31679755449295044,0.3168889880180359,0.32365044951438904,0.3251170516014099
1,b005_0291,2280.0,0.3193061053752899,782.6800537109375,0.31375429034233093,0.3156890273094177,0.3058208227157593,0.3071722090244293,0.31375429034233093,0.3161374628543854
1,b005_0291,2340.0,0.31822478771209717,786.1321411132812,0.30434054136276245,0.30649498105049133,0.29469797015190125,0.2973684072494507,0.30434054136276245,0.30649498105049133
1,b005_0291,2400.0,0.3161219358444214,789.4970092773438,0.2952640950679779,0.29742518067359924,0.2842109799385071,0.28780990839004517,0.2952640950679779,0.29742518067359924
1,b005_0291,2460.0,0.3094399869441986,792.7791748046875,0.28646641969680786,0.288490891456604,0.2736210823059082,0.2784980535507202,0.28646641969680786,0.288490891456604
1,b005_0291,2520.0,0.2769318222999573,795.9823608398438,0.27747228741645813,0.27869540452957153,0.2632116973400116,0.26943278312683105,0.27747228741645813,0.27869540452957153
1,b005_0291,2580.0,0.2747263014316559,799.1104736328125,0.2681201100349426,0.26870813965797424,0.25339263677597046,0.2606142461299896,0.2681201100349426,0.26870813965797424
1,b005_0291,2640.0,0.2639690041542053,802.1668701171875,0.2590515911579132,0.25892767310142517,0.2440681904554367,0.252043217420578,0.2590515911579132,0.25892767310142517
1,b005_0291,2700.0,0.23695413768291473,805.1547241210938,0.25004372000694275,0.24936628341674805,0.23516634106636047,0.24301759898662567,0.25004372000694275,0.24936628341674805
1,b005_0291,2760.0,0.23122641444206238,808.0770874023438,0.2408333271741867,0.24002349376678467,0.22663171589374542,0.23373551666736603,0.2408333271741867,0.24002349376678467
1,b005_0291,2820.0,0.21325235068798065,810.9368286132812,0.23190708458423615,0.2308664172887802,0.2175513356924057,0.22464650869369507,0.23190708458423615,0.2308664172887802
1,b005_0291,2880.0,0.20316673815250397,813.7364501953125,0.22325751185417175,0.22192342579364777,0.20721575617790222,0.2157265990972519,0.22325751185417175,0.22192342579364777
1,b005_0291,2940.0,0.1952943503856659,816.478515625,0.21487583220005035,0.21354161202907562,0.19751498103141785,0.20715706050395966,0.21487583220005035,0.21354161202907562
1,b005_0291,3000.0,0.18913856148719788,819.1653442382812,0.20680512487888336,0.205562025308609,0.18841303884983063,0.19893912971019745,0.20680512487888336,0.205562025308609
1,b005_0291,3060.0,0.18913856148719788,821.799072265625,0.1990370750427246,0.19788102805614471,0.17961563169956207,0.1910671442747116,0.1990370750427246,0.19788102805614471
1,b005_0291,3120.0,0.17277348041534424,824.3817749023438,0.19151301681995392,0.19047915935516357,0.17114688456058502,0.18337488174438477,0.19151301681995392,0.19047915935516357
