example,sample_id,model,seed,time_s,prediction
1,b005_0291,capacity_matched_deepsets,43,2820.0,0.21844054758548737
1,b005_0291,capacity_matched_deepsets,43,2880.0,0.20983605086803436
1,b005_0291,capacity_matched_deepsets,43,2940.0,0.2014733999967575
1,b005_0291,capacity_matched_deepsets,43,3000.0,0.19341623783111572
1,b005_0291,capacity_matched_deepsets,43,3060.0,0.18567220866680145
1,b005_0291,capacity_matched_deepsets,43,3120.0,0.17764967679977417
1,b005_0291,capacity_matched_deepsets,43,3180.0,0.17003032565116882
1,b005_0291,capacity_matched_deepsets,43,3240.0,0.1624346375465393
1,b005_0291,capacity_matched_deepsets,43,3300.0,0.15520323812961578
1,b005_0291,capacity_matched_deepsets,43,3360.0,0.14836445450782776
1,b005_0291,capacity_matched_deepsets,43,3420.0,0.1417321264743805
1,b005_0291,capacity_matched_deepsets,43,3480.0,0.13485144078731537
1,b005_0291,capacity_matched_deepsets,43,3540.0,0.12786750495433807
1,b005_0291,capacity_matched_deepsets,43,3600.0,0.12088628858327866
1,b005_0291,capacity_matched_deepsets,44,0.0,0.9971268773078918
1,b005_0291,capacity_matched_deepsets,44,60.0,0.9964924454689026
1,b005_0291,capacity_matched_deepsets,44,120.0,0.9808658361434937
1,b005_0291,capacity_matched_deepsets,44,180.0,0.7981613278388977
1,b005_0291,capacity_matched_deepsets,44,240.0,0.7361357808113098
1,b005_0291,capacity_matched_deepsets,44,300.0,0.7333741188049316
1,b005_0291,capacity_matched_deepsets,44,360.0,0.7374668121337891
1,b005_0291,capacity_matched_deepsets,44,420.0,0.7392173409461975
1,b005_0291,capacity_matched_deepsets,44,480.0,0.7376753091812134
1,b005_0291,capacity_matched_deepsets,44,540.0,0.7336853742599487
1,b005_0291,capacity_matched_deepsets,44,600.0,0.7279379963874817
1,b005_0291,capacity_matched_deepsets,44,660.0,0.7203967571258545
1,b005_0291,capacity_matched_deepsets,44,720.0,0.7116289734840393
1,b005_0291,capacity_matched_deepsets,44,780.0,0.7017893195152283
1,b005_0291,capacity_matched_deepsets,44,840.0,0.689574658870697
1,b005_0291,capacity_matched_deepsets,44,900.0,0.675908625125885
1,b005_0291,capacity_matched_deepsets,44,960.0,0.6592523455619812
1,b005_0291,capacity_matched_deepsets,44,1020.0,0.6396009922027588
1,b005_0291,capacity_matched_deepsets,44,1080.0,0.6081500053405762
1,b005_0291,capacity_matched_deepsets,44,1140.0,0.5734758377075195
1,b005_0291,capacity_matched_deepsets,44,1200.0,0.539319634437561
1,b005_0291,capacity_matched_deepsets,44,1260.0,0.5109440684318542
1,b005_0291,capacity_matched_deepsets,44,1320.0,0.4865666627883911
1,b005_0291,capacity_matched_deepsets,44,1380.0,0.4659845530986786
1,b005_0291,capacity_matched_deepsets,44,1440.0,0.4481391906738281
1,b005_0291,capacity_matched_deepsets,44,1500.0,0.43252062797546387
1,b005_0291,capacity_matched_deepsets,44,1560.0,0.41924646496772766
1,b005_0291,capacity_matched_deepsets,44,1620.0,0.4076104164123535
1,b005_0291,capacity_matched_deepsets,44,1680.0,0.39700111746788025
1,b005_0291,capacity_matched_deepsets,44,1740.0,0.38697031140327454
1,b005_0291,capacity_matched_deepsets,44,1800.0,0.3774690330028534
