protocol,model,threshold,test_geometries,seeds,reference_events,reference_censored,max_false_negative_over_seeds,max_false_positive_over_seeds,min_both_event_count_over_seeds,min_both_event_reference_event_fraction_over_seeds,seed_extrema_can_come_from_different_checkpoints,false_negative_mean_over_all5_seeds,false_negative_defined_seed_count,false_positive_mean_over_all5_seeds,false_positive_defined_seed_count,both_event_count_mean_over_all5_seeds,both_event_count_defined_seed_count,recall_mean_over_all5_seeds,recall_defined_seed_count,false_positive_rate_mean_over_all5_seeds,false_positive_rate_defined_seed_count,balanced_accuracy_mean_over_all5_seeds,balanced_accuracy_defined_seed_count,conditional_timing_MAE_s_mean_over_all5_seeds,conditional_timing_MAE_s_defined_seed_count,conditional_timing_bias_s_mean_over_all5_seeds,conditional_timing_bias_s_defined_seed_count
loco_log_variant,capacity_matched_deepsets,0.8,69,5,69,0,0,0,69,1.0,True,0.0,5,0.0,5,69.0,5,1.0,5,NA,0,NA,0,26.608695652173914,5,-14.08695652173913,5
loco_log_variant,capacity_matched_deepsets,0.6,69,5,69,0,0,0,69,1.0,True,0.0,5,0.0,5,69.0,5,1.0,5,NA,0,NA,0,57.391304347826086,5,11.478260869565215,5
loco_log_variant,gnn,0.8,69,5,69,0,0,0,69,1.0,True,0.0,5,0.0,5,69.0,5,1.0,5,NA,0,NA,0,29.04347826086957,5,-12.0,5
loco_log_variant,gnn,0.6,69,5,69,0,0,0,69,1.0,True,0.0,5,0.0,5,69.0,5,1.0,5,NA,0,NA,0,52.86956521739131,5,13.913043478260866,5
loco_log_variant,gnn_zero_edge_features,0.8,69,5,69,0,0,0,69,1.0,True,0.0,5,0.0,5,69.0,5,1.0,5,NA,0,NA,0,26.782608695652176,5,-18.086956521739133,5
loco_log_variant,gnn_zero_edge_features,0.6,69,5,69,0,0,0,69,1.0,True,0.0,5,0.0,5,69.0,5,1.0,5,NA,0,NA,0,46.95652173913044,5,-9.739130434782608,5
loco_log_variant,gnn_mean,0.8,69,5,69,0,0,0,69,1.0,True,0.0,5,0.0,5,69.0,5,1.0,5,NA,0,NA,0,28.695652173913043,5,-6.086956521739131,5
loco_log_variant,gnn_mean,0.6,69,5,69,0,0,0,69,1.0,True,0.0,5,0.0,5,69.0,5,1.0,5,NA,0,NA,0,48.173913043478265,5,-9.565217391304348,5
loco_external_fire,fire_only,0.8,49,5,49,0,0,0,49,1.0,True,0.0,5,0.0,5,49.0,5,1.0,5,NA,0,NA,0,42.857142857142854,5,-42.857142857142854,5
loco_external_fire,fire_only,0.6,49,5,49,0,0,0,49,1.0,True,0.0,5,0.0,5,49.0,5,1.0,5,NA,0,NA,0,71.0204081632653,5,17.142857142857142,5
loco_external_fire,global_stats,0.8,49,5,49,0,0,0,49,1.0,True,0.0,5,0.0,5,49.0,5,1.0,5,NA,0,NA,0,22.775510204081634,5,-22.775510204081634,5
loco_external_fire,global_stats,0.6,49,5,49,0,0,0,49,1.0,True,0.0,5,0.0,5,49.0,5,1.0,5,NA,0,NA,0,47.265306122448976,5,12.979591836734695,5
loco_external_fire,deepsets,0.8,49,5,49,0,0,0,49,1.0,True,0.0,5,0.0,5,49.0,5,1.0,5,NA,0,NA,0,23.26530612244898,5,-23.26530612244898,5
loco_external_fire,deepsets,0.6,49,5,49,0,0,0,49,1.0,True,0.0,5,0.0,5,49.0,5,1.0,5,NA,0,NA,0,37.95918367346939,5,10.53061224489796,5
loco_external_fire,capacity_matched_deepsets,0.8,49,5,49,0,0,0,49,1.0,True,0.0,5,0.0,5,49.0,5,1.0,5,NA,0,NA,0,23.02040816326531,5,-23.02040816326531,5
loco_external_fire,capacity_matched_deepsets,0.6,49,5,49,0,0,0,49,1.0,True,0.0,5,0.0,5,49.0,5,1.0,5,NA,0,NA,0,36.0,5,6.1224489795918355,5
loco_external_fire,gnn,0.8,49,5,49,0,0,0,49,1.0,True,0.0,5,0.0,5,49.0,5,1.0,5,NA,0,NA,0,24.97959183673469,5,-24.97959183673469,5
loco_external_fire,gnn,0.6,49,5,49,0,0,0,49,1.0,True,0.0,5,0.0,5,49.0,5,1.0,5,NA,0,NA,0,28.89795918367347,5,4.8979591836734695,5
loco_external_fire,gnn_zero_edge_features,0.8,49,5,49,0,0,0,49,1.0,True,0.0,5,0.0,5,49.0,5,1.0,5,NA,0,NA,0,26.20408163265306,5,-25.71428571428571,5
loco_external_fire,gnn_zero_edge_features,0.6,49,5,49,0,0,0,49,1.0,True,0.0,5,0.0,5,49.0,5,1.0,5,NA,0,NA,0,37.95918367346939,5,8.571428571428573,5
loco_external_fire,gnn_mean,0.8,49,5,49,0,0,0,49,1.0,True,0.0,5,0.0,5,49.0,5,1.0,5,NA,0,NA,0,23.755102040816325,5,-22.775510204081634,5
loco_external_fire,gnn_mean,0.6,49,5,49,0,0,0,49,1.0,True,0.0,5,0.0,5,49.0,5,1.0,5,NA,0,NA,0,29.142857142857146,5,4.163265306122449,5
loco_bilinear,fire_only,0.8,77,5,77,0,0,0,77,1.0,True,0.0,5,0.0,5,77.0,5,1.0,5,NA,0,NA,0,19.636363636363633,5,-0.6233766233766236,5
loco_bilinear,fire_only,0.6,77,5,73,4,0,4,73,1.0,True,0.0,5,4.0,5,73.0,5,1.0,5,1.0,5,0.5,5,64.76712328767124,5,-8.21917808219178,5
loco_bilinear,global_stats,0.8,77,5,77,0,0,0,77,1.0,True,0.0,5,0.0,5,77.0,5,1.0,5,NA,0,NA,0,17.766233766233764,5,2.8051948051948052,5
loco_bilinear,global_stats,0.6,77,5,73,4,0,4,73,1.0,True,0.0,5,4.0,5,73.0,5,1.0,5,1.0,5,0.5,5,35.67123287671233,5,-12.657534246575342,5
loco_bilinear,deepsets,0.8,77,5,77,0,0,0,77,1.0,True,0.0,5,0.0,5,77.0,5,1.0,5,NA,0,NA,0,18.7012987012987,5,6.545454545454545,5
loco_bilinear,deepsets,0.6,77,5,73,4,0,4,73,1.0,True,0.0,5,3.6,5,73.0,5,1.0,5,0.9,5,0.55,5,32.54794520547945,5,-11.506849315068495,5
loco_bilinear,capacity_matched_deepsets,0.8,77,5,77,0,0,0,77,1.0,True,0.0,5,0.0,5,77.0,5,1.0,5,NA,0,NA,0,20.1038961038961,5,8.571428571428571,5
loco_bilinear,capacity_matched_deepsets,0.6,77,5,73,4,0,4,73,1.0,True,0.0,5,3.6,5,73.0,5,1.0,5,0.9,5,0.55,5,30.082191780821915,5,-12.0,5
loco_bilinear,gnn,0.8,77,5,77,0,0,0,77,1.0,True,0.0,5,0.0,5,77.0,5,1.0,5,NA,0,NA,0,18.38961038961039,5,5.922077922077922,5
