protocol,model,seed,test_geometries,threshold,reference_events,reference_censored,predicted_events,predicted_censored,true_positive,false_negative,false_positive,true_negative,recall,false_positive_rate,balanced_accuracy,both_event_count,both_event_population_fraction,both_event_reference_event_fraction,conditional_timing_MAE_s,conditional_timing_median_abs_s,conditional_timing_bias_s,optimistic_late_or_missed_count,recross_above_threshold_count,recross_fraction_all_cases,recross_fraction_predicted_event_cases
iid997,gnn,43,160,0.6,141,19,141,19,141,0,0,19,1.0,0.0,1.0,141,0.88125,1.0,26.382978723404257,0.0,0.0,29,0,0.0,0.0
iid997,gnn,44,160,0.8,144,16,144,16,144,0,0,16,1.0,0.0,1.0,144,0.9,1.0,13.333333333333334,0.0,-2.5,13,0,0.0,0.0
iid997,gnn,44,160,0.6,141,19,141,19,141,0,0,19,1.0,0.0,1.0,141,0.88125,1.0,25.53191489361702,0.0,1.702127659574468,30,0,0.0,0.0
iid997,gnn,45,160,0.8,144,16,144,16,144,0,0,16,1.0,0.0,1.0,144,0.9,1.0,12.083333333333334,0.0,-3.75,10,0,0.0,0.0
iid997,gnn,45,160,0.6,141,19,141,19,141,0,0,19,1.0,0.0,1.0,141,0.88125,1.0,32.340425531914896,0.0,-20.425531914893618,13,1,0.00625,0.0070921985815602835
iid997,gnn,46,160,0.8,144,16,144,16,144,0,0,16,1.0,0.0,1.0,144,0.9,1.0,14.583333333333334,0.0,-2.0833333333333335,15,0,0.0,0.0
iid997,gnn,46,160,0.6,141,19,141,19,141,0,0,19,1.0,0.0,1.0,141,0.88125,1.0,26.80851063829787,0.0,0.425531914893617,30,0,0.0,0.0
iid997,gnn_zero_edge_features,42,160,0.8,144,16,144,16,144,0,0,16,1.0,0.0,1.0,144,0.9,1.0,11.666666666666666,0.0,-1.6666666666666667,12,0,0.0,0.0
iid997,gnn_zero_edge_features,42,160,0.6,141,19,141,19,141,0,0,19,1.0,0.0,1.0,141,0.88125,1.0,27.23404255319149,0.0,-0.851063829787234,29,1,0.00625,0.0070921985815602835
iid997,gnn_zero_edge_features,43,160,0.8,144,16,144,16,144,0,0,16,1.0,0.0,1.0,144,0.9,1.0,12.916666666666666,0.0,-2.9166666666666665,12,0,0.0,0.0
iid997,gnn_zero_edge_features,43,160,0.6,141,19,141,19,141,0,0,19,1.0,0.0,1.0,141,0.88125,1.0,27.23404255319149,0.0,-0.851063829787234,28,0,0.0,0.0
iid997,gnn_zero_edge_features,44,160,0.8,144,16,144,16,144,0,0,16,1.0,0.0,1.0,144,0.9,1.0,11.666666666666666,0.0,-2.5,11,0,0.0,0.0
iid997,gnn_zero_edge_features,44,160,0.6,141,19,141,19,141,0,0,19,1.0,0.0,1.0,141,0.88125,1.0,23.404255319148938,0.0,0.425531914893617,26,0,0.0,0.0
iid997,gnn_zero_edge_features,45,160,0.8,144,16,144,16,144,0,0,16,1.0,0.0,1.0,144,0.9,1.0,11.25,0.0,-2.9166666666666665,10,0,0.0,0.0
iid997,gnn_zero_edge_features,45,160,0.6,141,19,141,19,141,0,0,19,1.0,0.0,1.0,141,0.88125,1.0,25.95744680851064,0.0,-2.127659574468085,26,0,0.0,0.0
iid997,gnn_zero_edge_features,46,160,0.8,144,16,144,16,144,0,0,16,1.0,0.0,1.0,144,0.9,1.0,11.666666666666666,0.0,-2.5,11,0,0.0,0.0
iid997,gnn_zero_edge_features,46,160,0.6,141,19,141,19,141,0,0,19,1.0,0.0,1.0,141,0.88125,1.0,25.53191489361702,0.0,-1.702127659574468,26,0,0.0,0.0
iid997,gnn_mean,42,160,0.8,144,16,144,16,144,0,0,16,1.0,0.0,1.0,144,0.9,1.0,13.333333333333334,0.0,-1.6666666666666667,14,0,0.0,0.0
iid997,gnn_mean,42,160,0.6,141,19,141,19,141,0,0,19,1.0,0.0,1.0,141,0.88125,1.0,29.361702127659573,0.0,-3.8297872340425534,28,0,0.0,0.0
