protocol,model,seed,test_geometries,final_MAE,final_bias,time_average_MAE,time_average_bias
loco_astm_e119,capacity_matched_deepsets,44,95,0.005565030755181061,0.0049956864040148884,0.004091742397204302,0.00029287623241543875
loco_astm_e119,capacity_matched_deepsets,45,95,0.00416740579040427,0.00010123919499547858,0.00430891345467483,-0.0007062334698020341
loco_astm_e119,capacity_matched_deepsets,46,95,0.004583833092137387,-0.0023204914833370007,0.004808751096328102,-0.00293068631176363
loco_astm_e119,gnn,42,95,0.004194354461996179,-0.0011552253836079648,0.003811645364682929,-0.0006599889545325649
loco_astm_e119,gnn,43,95,0.0038172257181845214,0.00028432007682950875,0.004303279061262546,-0.0019126464933026288
loco_astm_e119,gnn,44,95,0.003757826827074352,-3.164787041513543e-05,0.003942044892985571,-0.0009500350417536554
loco_astm_e119,gnn,45,95,0.0038254543354636745,0.0024381132502304882,0.0035937503104408585,0.0007552847762902542
loco_astm_e119,gnn,46,95,0.0038163295309794577,-0.0014090928984315772,0.0038002878692197212,-0.0008674445163393236
loco_astm_e119,gnn_zero_edge_features,42,95,0.004486832610870663,-0.0009110386042218459,0.004498576331360817,-0.0010152042758438606
loco_astm_e119,gnn_zero_edge_features,43,95,0.004241057916691429,-0.0002932321084173102,0.004353910734909669,0.0010669269615359428
loco_astm_e119,gnn_zero_edge_features,44,95,0.0039398658040322755,-5.513037505902742e-07,0.004377151556770525,0.0002545070625318753
loco_astm_e119,gnn_zero_edge_features,45,95,0.004168592707106942,0.0009997692547346415,0.004438557347707585,3.8603108964470404e-05
loco_astm_e119,gnn_zero_edge_features,46,95,0.004019901195639058,0.0020130760967731476,0.004423966806120515,0.001302624949695253
loco_astm_e119,gnn_mean,42,95,0.004846631108145965,0.0037673332581394598,0.003943658474702059,0.00108211258099529
loco_astm_e119,gnn_mean,43,95,0.004206532514409015,-0.0018384053126761788,0.004437541380328562,-0.001894725017053516
loco_astm_e119,gnn_mean,44,95,0.0042011642534481855,-0.0018659472857650958,0.003998202256400859,-0.0014237391239587671
loco_astm_e119,gnn_mean,45,95,0.004004223056529698,0.0031419221115739724,0.003977883955169667,0.0024708949535954417
loco_astm_e119,gnn_mean,46,95,0.004812785590949812,-0.0029082801781202617,0.00459059778404863,-0.0030990308340181397
loco_perturbed_iso,fire_only,42,111,0.007207308199491586,0.004839436159477578,0.007706229773548629,0.0020079159588964205
loco_perturbed_iso,fire_only,43,111,0.005980693877817274,0.003492010606301797,0.007717882855809302,0.0008171957847592243
loco_perturbed_iso,fire_only,44,111,0.005599853221897606,0.002168026861843762,0.007724950485513196,0.0008635718464940844
loco_perturbed_iso,fire_only,45,111,0.00563592205310727,0.0017657503821291365,0.007696669989799679,0.0009047803944452472
loco_perturbed_iso,fire_only,46,111,0.005537806867479204,0.0018063173503489107,0.007698472836488358,0.0015754862870271656
loco_perturbed_iso,global_stats,42,111,0.005027010164282343,0.0033916340352178696,0.005568398267321584,0.002238076600853037
loco_perturbed_iso,global_stats,43,111,0.0045302800901301276,0.0028483199777903857,0.005549924717740613,0.0020833566320595845
loco_perturbed_iso,global_stats,44,111,0.005662096647528914,0.004866367323441549,0.005623485998728802,0.002516490120899396
loco_perturbed_iso,global_stats,45,111,0.005318128612932858,0.0037241232757632796,0.005619404108931981,0.002473249378986094
loco_perturbed_iso,global_stats,46,111,0.004226126078818296,0.0007811674999224173,0.005610120256484545,0.002012685753192544
loco_perturbed_iso,deepsets,42,111,0.004917465553090379,0.00349228755310849,0.004691036350957984,0.002274846226290187
loco_perturbed_iso,deepsets,43,111,0.004496921122342617,0.0026609246191140767,0.004100910809405661,0.0018465762009827536
loco_perturbed_iso,deepsets,44,111,0.003912949582209458,0.001188074515478031,0.004373563698272007,0.0019199943430050646
loco_perturbed_iso,deepsets,45,111,0.005913904222013714,0.005451579049632356,0.004969487495037986,0.0034978454454323844
loco_perturbed_iso,deepsets,46,111,0.003741759806871414,0.0003248042015879004,0.004190240884563312,-0.0003645869522906358
loco_perturbed_iso,capacity_matched_deepsets,42,111,0.0044016803841333135,0.0025271030965152087,0.004349836099657924,0.0009136216049348406
loco_perturbed_iso,capacity_matched_deepsets,43,111,0.004156642165538427,0.0023415740747172553,0.0044896592324538106,0.0022450187120463616
loco_perturbed_iso,capacity_matched_deepsets,44,111,0.004013985361870345,0.0018755140135417114,0.0049997278366114865,0.0036972642042772067
loco_perturbed_iso,capacity_matched_deepsets,45,111,0.004209938819880958,0.0025373469736125016,0.004527550925117528,-0.00029511058216427155
loco_perturbed_iso,capacity_matched_deepsets,46,111,0.0037388459586345396,-9.455306975691169e-05,0.004393203347619317,0.001502323869123569
loco_perturbed_iso,gnn,42,111,0.003724248593186473,0.0010431609242349058,0.004431214584345307,0.0020566060090320077
loco_perturbed_iso,gnn,43,111,0.003842988764649039,0.001741773339810672,0.00418109207892338,0.001876306704136438
loco_perturbed_iso,gnn,44,111,0.0037794543077816836,0.000757445052668855,0.004660009749670015,0.0005516686169123032
loco_perturbed_iso,gnn,45,111,0.00396541408724613,0.0015627655561442847,0.004071345097768505,0.0015549780305911364
