protocol,model,endpoint,budget,N,k,actual_budget_fraction,independent_seed_count,U_defined_seeds,U_mean,U_sample_sd,U_min,U_max,regret_raw_defined_seeds,regret_raw_mean,regret_raw_sample_sd,regret_raw_min,regret_raw_max,regret_display_defined_seeds,regret_display_mean,regret_display_sample_sd,regret_display_min,regret_display_max,improvement_over_random_defined_seeds,improvement_over_random_mean,improvement_over_random_sample_sd,improvement_over_random_min,improvement_over_random_max,oracle_improvement_fraction_defined_seeds,oracle_improvement_fraction_mean,oracle_improvement_fraction_sample_sd,oracle_improvement_fraction_min,oracle_improvement_fraction_max
iid997,global_stats,J,25%,160,40,0.25,5,5,0.3485782603663101,1.652233682034972e-05,0.34854870431168816,0.3485856493799656,5,0.002886623641941699,1.652233682034972e-05,0.0028570675873197393,0.002894012655597189,5,0.002886623641941699,1.652233682034972e-05,0.0028570675873197393,0.002894012655597189,5,0.16181681866654984,1.652233682034972e-05,0.16180942965289435,0.1618463747211718,5,0.9824738111026543,0.00010031567396998604,0.9824289485694132,0.9826532612356188
iid997,global_stats,J,50%,160,80,0.5,5,5,0.35871134507957325,2.730376062864214e-05,0.35869913446661184,0.35876018753141886,5,0.0005387521636051496,2.730376062864214e-05,0.0005265415506437443,0.0005875946154507705,5,0.0005387521636051496,2.730376062864214e-05,0.0005265415506437443,0.0005875946154507705,5,0.15168373395328674,2.730376062864214e-05,0.1516348915014411,0.15169594456624813,5,0.9964607583455743,0.0001793674595990864,0.9961398960794823,0.9965409739120973
iid997,deepsets,terminal,10%,160,16,0.1,5,5,0.03940289058955386,0.0009425819421993263,0.03801823063986376,0.040315238351468,5,0.003131358465179801,0.0009425819421993263,0.0017466985154896975,0.004043706227093935,5,0.003131358465179801,0.0009425819421993263,0.0017466985154896975,0.004043706227093935,5,0.21107684592134318,0.0009425819421993263,0.21016449815942906,0.2124615058710333,5,0.9853817062042616,0.004400307378042868,0.9811225427211118,0.9918457907786861
iid997,deepsets,terminal,25%,160,40,0.25,5,5,0.046688849651254714,0.00026307986708378465,0.0464937410550192,0.0471237231278792,5,0.0007063273899257164,0.00026307986708378465,0.0005112187936902046,0.0011412008665502016,5,0.0007063273899257164,0.00026307986708378465,0.0005112187936902046,0.0011412008665502016,5,0.20379088685964236,0.0002630798670837961,0.20335601338301784,0.20398599545587787,5,0.9965460292820237,0.0012864716424094444,0.9944194796455392,0.9975001185440779
iid997,deepsets,terminal,50%,160,80,0.5,5,5,0.057921829998958854,0.00010490708136927075,0.05775057087885216,0.05798941013636068,5,0.00017125912010669818,0.00010490708136927075,0.0,0.0002388392575085191,5,0.00017125912010669818,0.00010490708136927075,0.0,0.0002388392575085191,5,0.1925579065119382,0.00010490708136926302,0.1924903263745364,0.1927291656320449,5,0.9991114000854772,0.0005443238496116092,0.9987607518731,1.0
iid997,deepsets,J,10%,160,16,0.1,5,5,0.3344978870543855,0.0007136458490584998,0.33370655551467887,0.33540427883575225,5,0.00392774384624014,0.0007136458490584998,0.003136412306533498,0.0048341356276068725,5,0.00392774384624014,0.0007136458490584998,0.003136412306533498,0.0048341356276068725,5,0.17589719197847448,0.0007136458490584998,0.17499080019710772,0.1766885235181811,5,0.9781579577480359,0.003968558897494208,0.9731175456538521,0.9825585239769487
iid997,deepsets,J,25%,160,40,0.25,5,5,0.3468582149236172,0.0003840012178729363,0.34650069749026446,0.34748462748757447,5,0.00116657819924878,0.00038400121787293635,0.0008090607658960414,0.0017929907632060482,5,0.00116657819924878,0.00038400121787293635,0.0008090607658960414,0.0017929907632060482,5,0.16353686410924279,0.0003840012178729363,0.1629104515452855,0.1638943815425955,5,0.9929170988602427,0.002331470505356522,0.9891138233780946,0.9950877725774507
iid997,deepsets,J,50%,160,80,0.5,5,5,0.3586052265763914,6.657608200983902e-05,0.3585108271623661,0.35866583356733217,5,0.0004326336604232428,6.657608200983902e-05,0.0003382342463980059,0.0004932406513640797,5,0.0004326336604232428,6.657608200983902e-05,0.0003382342463980059,0.0004932406513640797,5,0.15178985245646864,6.657608200983902e-05,0.1517292454655278,0.15188425187049387,5,0.9971578859900434,0.0004373603644780637,0.9967597385646079,0.99777802705089
iid997,capacity_matched_deepsets,terminal,10%,160,16,0.1,5,5,0.038840073451865464,0.0004280967004379241,0.038192324864212424,0.039271608751732856,5,0.0025685413274914026,0.0004280967004379241,0.0019207927398383617,0.003000076627358794,5,0.0025685413274914026,0.0004280967004379241,0.0019207927398383617,0.003000076627358794,5,0.2116396630590316,0.0004280967004379241,0.2112081277591642,0.21228741164668463,5,0.988009136555495,0.0019985074879086224,0.9859945764638156,0.9910330570888292
iid997,capacity_matched_deepsets,terminal,25%,160,40,0.25,5,5,0.04671126990113407,0.00010563926436281262,0.046554852207191286,0.0468077644938603,5,0.0007287476398050733,0.00010563926436281262,0.0005723299458622877,0.0008252422325313036,5,0.0007287476398050733,0.00010563926436281262,0.0005723299458622877,0.0008252422325313036,5,0.20376846660976294,0.00010563926436281129,0.20367197201703674,0.20392488430370576,5,0.9964363933147972,0.0005165804568559571,0.9959645306878155,0.9972012824332959
