protocol,contrast,baseline,candidate,endpoint,budget,N,k,seed,U_baseline_minus_candidate
lcro_9_15,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,50%,264,132,42,-2.8260081366748846e-05
lcro_9_15,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,50%,264,132,43,0.00012514135339342092
lcro_9_15,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,50%,264,132,44,0.0001852613666818992
lcro_9_15,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,50%,264,132,45,-8.463975173805816e-05
lcro_9_15,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,50%,264,132,46,0.0002331435576909957
lcro_9_15,mean_vs_sum,gnn,gnn_mean,terminal,10%,264,26,42,-0.0004004950706775409
lcro_9_15,mean_vs_sum,gnn,gnn_mean,terminal,10%,264,26,43,-0.000765539275912136
lcro_9_15,mean_vs_sum,gnn,gnn_mean,terminal,10%,264,26,44,-0.0011697563414390308
lcro_9_15,mean_vs_sum,gnn,gnn_mean,terminal,10%,264,26,45,-0.00037029184974157053
lcro_9_15,mean_vs_sum,gnn,gnn_mean,terminal,10%,264,26,46,0.00016108054954271783
lcro_9_15,mean_vs_sum,gnn,gnn_mean,terminal,25%,264,66,42,-3.6857119112304604e-05
lcro_9_15,mean_vs_sum,gnn,gnn_mean,terminal,25%,264,66,43,0.0
lcro_9_15,mean_vs_sum,gnn,gnn_mean,terminal,25%,264,66,44,0.0
lcro_9_15,mean_vs_sum,gnn,gnn_mean,terminal,25%,264,66,45,0.0
lcro_9_15,mean_vs_sum,gnn,gnn_mean,terminal,25%,264,66,46,3.127403783075716e-05
lcro_9_15,mean_vs_sum,gnn,gnn_mean,terminal,50%,264,132,42,-2.530555833470116e-05
lcro_9_15,mean_vs_sum,gnn,gnn_mean,terminal,50%,264,132,43,4.566810799368215e-05
lcro_9_15,mean_vs_sum,gnn,gnn_mean,terminal,50%,264,132,44,-0.00014152569752751143
lcro_9_15,mean_vs_sum,gnn,gnn_mean,terminal,50%,264,132,45,0.00022261804251959283
lcro_9_15,mean_vs_sum,gnn,gnn_mean,terminal,50%,264,132,46,7.008128997051943e-05
lcro_9_15,mean_vs_sum,gnn,gnn_mean,J,10%,264,26,42,-0.001262971963017001
lcro_9_15,mean_vs_sum,gnn,gnn_mean,J,10%,264,26,43,0.0007905151253231879
lcro_9_15,mean_vs_sum,gnn,gnn_mean,J,10%,264,26,44,0.0015493700531525878
lcro_9_15,mean_vs_sum,gnn,gnn_mean,J,10%,264,26,45,0.0001962489675347845
lcro_9_15,mean_vs_sum,gnn,gnn_mean,J,10%,264,26,46,0.0010472233454959512
lcro_9_15,mean_vs_sum,gnn,gnn_mean,J,25%,264,66,42,0.00015423221729987668
lcro_9_15,mean_vs_sum,gnn,gnn_mean,J,25%,264,66,43,0.0002631652996771816
lcro_9_15,mean_vs_sum,gnn,gnn_mean,J,25%,264,66,44,0.0003570130259513693
lcro_9_15,mean_vs_sum,gnn,gnn_mean,J,25%,264,66,45,-0.00017193426998951544
lcro_9_15,mean_vs_sum,gnn,gnn_mean,J,25%,264,66,46,-0.00037430621203826675
lcro_9_15,mean_vs_sum,gnn,gnn_mean,J,50%,264,132,42,0.0003325520995816622
lcro_9_15,mean_vs_sum,gnn,gnn_mean,J,50%,264,132,43,-0.00010429471731188134
lcro_9_15,mean_vs_sum,gnn,gnn_mean,J,50%,264,132,44,-6.38292086395098e-05
lcro_9_15,mean_vs_sum,gnn,gnn_mean,J,50%,264,132,45,9.637518851690619e-06
lcro_9_15,mean_vs_sum,gnn,gnn_mean,J,50%,264,132,46,-4.827352522901451e-05
loco_iso834,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,10%,158,15,42,-0.0005009621381759644
loco_iso834,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,10%,158,15,43,-0.0004057479401429545
loco_iso834,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,10%,158,15,44,0.001374908785025275
loco_iso834,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,10%,158,15,45,0.001221766571203868
loco_iso834,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,10%,158,15,46,-0.0022499990959962204
loco_iso834,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,25%,158,39,42,-0.00022638302582960595
loco_iso834,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,25%,158,39,43,-0.000519486382985726
loco_iso834,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,25%,158,39,44,-7.154974035727263e-05
loco_iso834,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,25%,158,39,45,0.000696624509799175
loco_iso834,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,25%,158,39,46,-0.0007661322179513125
loco_iso834,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,50%,158,79,42,-0.00016295518490332117
loco_iso834,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,50%,158,79,43,-1.3643616362468691e-05
loco_iso834,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,50%,158,79,44,0.00035037944399857884
loco_iso834,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,50%,158,79,45,-0.00019800351767600144
loco_iso834,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,50%,158,79,46,-0.0002038114338736019
loco_iso834,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,10%,158,15,42,-0.0001666318501036268
loco_iso834,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,10%,158,15,43,0.0022549131926562493
loco_iso834,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,10%,158,15,44,0.0015888146518004964
loco_iso834,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,10%,158,15,45,0.0011483409338526873
loco_iso834,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,10%,158,15,46,0.0001517266469696077
loco_iso834,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,25%,158,39,42,-0.00036335887594352023
loco_iso834,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,25%,158,39,43,-0.0009916817108725495
loco_iso834,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,25%,158,39,44,6.925616906877652e-05
loco_iso834,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,25%,158,39,45,-0.0005087930231522098
loco_iso834,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,25%,158,39,46,-0.0005300690053810508
loco_iso834,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,50%,158,79,42,-0.00013515591574247976
loco_iso834,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,50%,158,79,43,-9.457428236236964e-05
loco_iso834,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,50%,158,79,44,8.11135486742387e-05
loco_iso834,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,50%,158,79,45,0.0003915543557942436
loco_iso834,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,50%,158,79,46,-0.0005860382439529244
loco_iso834,mean_vs_sum,gnn,gnn_mean,terminal,10%,158,15,42,0.0010026854773362431
loco_iso834,mean_vs_sum,gnn,gnn_mean,terminal,10%,158,15,43,-0.0001498239735762269
loco_iso834,mean_vs_sum,gnn,gnn_mean,terminal,10%,158,15,44,0.00046493783593178073
loco_iso834,mean_vs_sum,gnn,gnn_mean,terminal,10%,158,15,45,-3.1231592098869554e-05
loco_iso834,mean_vs_sum,gnn,gnn_mean,terminal,10%,158,15,46,0.0022576272487640353
loco_iso834,mean_vs_sum,gnn,gnn_mean,terminal,25%,158,39,42,0.0004213258433036285
loco_iso834,mean_vs_sum,gnn,gnn_mean,terminal,25%,158,39,43,-0.00028160529641004656
loco_iso834,mean_vs_sum,gnn,gnn_mean,terminal,25%,158,39,44,0.0002677796933895499
loco_iso834,mean_vs_sum,gnn,gnn_mean,terminal,25%,158,39,45,0.00015740134777167403
loco_iso834,mean_vs_sum,gnn,gnn_mean,terminal,25%,158,39,46,0.0009529162675906422
loco_iso834,mean_vs_sum,gnn,gnn_mean,terminal,50%,158,79,42,0.00024456276169305957
loco_iso834,mean_vs_sum,gnn,gnn_mean,terminal,50%,158,79,43,0.0002711188944080206
loco_iso834,mean_vs_sum,gnn,gnn_mean,terminal,50%,158,79,44,0.0003000744441642028
loco_iso834,mean_vs_sum,gnn,gnn_mean,terminal,50%,158,79,45,0.0001329295808755876
loco_iso834,mean_vs_sum,gnn,gnn_mean,terminal,50%,158,79,46,1.0761184782923094e-05
loco_iso834,mean_vs_sum,gnn,gnn_mean,J,10%,158,15,42,-0.0009419515894518171
loco_iso834,mean_vs_sum,gnn,gnn_mean,J,10%,158,15,43,0.00010635891722310387
loco_iso834,mean_vs_sum,gnn,gnn_mean,J,10%,158,15,44,0.0021192725747824492
loco_iso834,mean_vs_sum,gnn,gnn_mean,J,10%,158,15,45,0.00040145947908365454
loco_iso834,mean_vs_sum,gnn,gnn_mean,J,10%,158,15,46,0.0020239024940464367
loco_iso834,mean_vs_sum,gnn,gnn_mean,J,25%,158,39,42,-0.0001831806368298161
loco_iso834,mean_vs_sum,gnn,gnn_mean,J,25%,158,39,43,-0.000480990072823817
loco_iso834,mean_vs_sum,gnn,gnn_mean,J,25%,158,39,44,0.0003086398196462392
loco_iso834,mean_vs_sum,gnn,gnn_mean,J,25%,158,39,45,0.00011389370147996125
loco_iso834,mean_vs_sum,gnn,gnn_mean,J,25%,158,39,46,0.0004620809322939401
loco_iso834,mean_vs_sum,gnn,gnn_mean,J,50%,158,79,42,-7.56619305581907e-05
loco_iso834,mean_vs_sum,gnn,gnn_mean,J,50%,158,79,43,0.00037849670401790547
loco_iso834,mean_vs_sum,gnn,gnn_mean,J,50%,158,79,44,5.306118572695473e-05
loco_iso834,mean_vs_sum,gnn,gnn_mean,J,50%,158,79,45,-0.0005982709227263516
loco_iso834,mean_vs_sum,gnn,gnn_mean,J,50%,158,79,46,0.0002921364812439875
