sample_id,geometry_id,source_batch,fire_family,crack_count,legacy911,flat_response
b004_0022,4ec7aeafc91d7a99224d0787dd5797d992b136207950ed0c6363890a5098322b,batch_004,iso834,2,True,False
b004_0023,4f1157df6a09a1d587cea4a628b3af4fb29c1a4c848a5884dd2dac5d8cc7306e,batch_004,iso834,7,True,False
b004_0024,845963ce3445a26d19116816e94f65c615f2fa4bc80e96220fee6c7501a464a4,batch_004,iso834,4,True,False
b004_0025,6b07872edeb8ec6ed46474fa93db494959933911ad940f1dfbdc8923f646809c,batch_004,iso834,1,True,False
b004_0026,006f16bd26e589cc628ba2626e5021e32f6cf70cad9b336bc21868de9cbeec32,batch_004,iso834,6,True,False
b004_0027,c3bf3ea7871301f557653a1302204979aebe65e014902507d0161017e19d6a2c,batch_004,iso834,8,True,False
b004_0028,23d59f14ef9e94d41973273a54c6661bd049884cc571532e35137edd254d3111,batch_004,iso834,6,True,False
b004_0029,676d36293ff2927fa3ed2dbe14525add2132f0d47a97b3d276b930f6dc94be45,batch_004,iso834,1,True,False
b004_0030,fae2be2fe939191db89593061cb0a25dcb51a3cdb6be0dcd04018b1ce5e9c3fb,batch_004,iso834,3,True,False
b004_0031,8f5c551f4cdf3750c9f79700e0b2afdb7484c7a4ef6bbc544de6b29abbeb043a,batch_004,iso834,2,True,False
b004_0032,76917f26e4ea77389a485841b62c0568f8aba17d765a766c42d5d9977a2637ea,batch_004,iso834,1,True,False
b004_0033,453cb4a14d0b7597e95f15f722b5be98c6712e470b6493dc69fda68c4c2145a2,batch_004,iso834,1,True,False
b004_0034,39ee9f5b28a4a4b71ad6c0ec91e4c912a6f1c5688e0bd5cad91d45e2b2e970a2,batch_004,iso834,3,True,False
b004_0035,0c0561e1b4b200bfb6d4e7ec78e963dee30abd6591fcedb9d57ea4f7469af50a,batch_004,iso834,4,True,False
b004_0036,c3e7ad19b557e82d33304a9bd8954c8d8253009d9a75f50aedc1419797719377,batch_004,iso834,3,True,False
b004_0037,fb2fb31e2f5480154dea10a27cd4b981066ce0c9d7fda4dcccadc8374c2ebab6,batch_004,iso834,5,True,False
b004_0038,1db3383230c9134af2eb68939415d43710b847d388bfb4c4fb9e326b59a4a48d,batch_004,iso834,5,True,False
b004_0039,063d760e35c1068c43cf5ba2d6385324e76bf424faa392a6a0b3fa4c138a59a8,batch_004,iso834,8,True,False
b004_0040,2c303201830a3d3a254e6a0606d2e50b9e88c30a01b7d43e2d752397d9a50ba4,batch_004,iso834,6,True,False
b004_0041,4af7bea75492d2772d14150d627ca4866180175e2f7b1bb232c7d89a969b4981,batch_004,iso834,6,True,False
b004_0042,fc209465d3491bd76f93d36b18969a4a6524ad79adef4416d08c56795e3fae8e,batch_004,iso834,2,True,False
b004_0043,fd4ff05e34c11b4fafbde8fa1eb068c2be1ab7e3148a964e4022b071d96eb1ae,batch_004,iso834,2,True,False
b004_0044,909344b3a448a07e64ce9534a31f439670059d8d15f3c93690eb0a4195cc6c66,batch_004,iso834,3,True,False
b004_0045,169f18421149a7a2041b00fe090b07ffd1b88f2e2f2c5f13f0ba0833b7396e02,batch_004,iso834,1,True,False
b004_0046,dcec45779cb2934f32eb627e488d7c909a9555d00d0716a00bef2754120ea177,batch_004,iso834,3,True,False
b004_0047,72eeb8145a7d214fc3aa1e2c9017f35516dca0750bffff0dab15eba6289c717e,batch_004,iso834,3,True,False
b004_0048,694d027731357836485f63270047eea893403e3ee52848ea659af5ac1ae5516e,batch_004,iso834,2,True,False
b004_0049,70d7fa283412b9b2e25690f00b7926207801e411d47fc3e053859e8e623e7c90,batch_004,iso834,6,True,False
b004_0050,2a0b0bf31d5ad9069a5bbe7d7fff1bf294ba8ee1ccf4df5c369b2e692e673052,batch_004,iso834,7,True,False
b004_0051,ec6a984a95c5c854b1d5ea133143e762ac63f44704bb9d98ea6d60d03ef7c642,batch_004,iso834,4,True,False
b004_0052,977ce5ac80aed87991f5c80df9e516440be4859937ad162b66620d87037fe075,batch_004,iso834,6,True,False
b004_0053,9b3e98822d7b96a2498e277a47be2a103662d5c5b5b481f102e2ed742fb7697f,batch_004,iso834,7,True,False
b004_0054,1fb3d005cf25686473c1f6c9303a1fa48f11c7f0bf733b1b12befe418c31b4cf,batch_004,iso834,8,True,False
b004_0055,2a3a88f505e373df6f86358ff88824297a80bd7b323b63093e3cf0146a9cbb6a,batch_004,iso834,1,True,False
b004_0056,c77d463e72080e29c0bcdaec75576cd966066074ba1e1da09e71336bf1ccb5c5,batch_004,iso834,8,True,False
b004_0057,b4b3ad85321b424672ec522ae1cb600d0d2c456e16d74b11b7f57b74f6602bbc,batch_004,iso834,3,True,False
b004_0058,ca1766163f885516939b28af132800458459ed945749df9435d45b20b33c5a48,batch_004,iso834,7,True,False
b004_0059,c0c5ba2966cdbb6cb6def781df9f6c962a15184c7a7781b44de50584c3f600e2,batch_004,iso834,7,True,False
b004_0060,bd96461108ee2dd18254faf16116c9ee12832bd8249e50acf0677d2c6587b8dd,batch_004,iso834,8,True,False
b004_0061,c3a3367925cb1830bab97bd8b357c2d132308dd091f2b16447393ff4b87f6bec,batch_004,iso834,8,True,False
b004_0062,ef94b2da448a01963eadec2f261cf96f38e3c419de31d9b68d2aed6ddff4dfdd,batch_004,iso834,2,True,False
b004_0063,1a16b90f4bf6155c2f4f79ef1a1157ebe3fe644d55a6862b9b301631f84eeea8,batch_004,iso834,6,True,False
b004_0064,f0a9f5948fbddbde6fae476149ff96abf560701b76a66a05e81e5e7e03d800cf,batch_004,iso834,7,True,False
b004_0065,f2f985ebcc5350b787d137781e8fa5311b3a3c64d723e43736b109c00bc03b89,batch_004,iso834,3,True,False
b004_0066,f3cf8ab5ff1140c47d1e52861633cb8b8c076bed6c475915a6211f917137921f,batch_004,iso834,8,True,False
b004_0067,32f995f2eebdaae314317a88fcbfec9307e064ac321ec5e52f3db31bd2bc069c,batch_004,iso834,7,True,False
b004_0068,eb44a00d1ba9df98e86b7051109248cf8e841353f155df85559f789438df40bc,batch_004,iso834,2,True,False
b004_0069,2696d7fa9bb756d800698a5d3276b0ba65b836e92dcf8ff578a662fdc8a8f05e,batch_004,iso834,8,True,False
b004_0070,a49650d9b3b188983835f0cce54a6fdbf97e00b0599a0ec5ecf6f332155692b6,batch_004,iso834,3,True,False
b004_0071,3d11edf1d399e07036092ef563956080418f55ef35bc0b500fbf08a0fb310e31,batch_004,iso834,1,True,False
b004_0072,c69e6526e96a1f2c58321ac31322b7d652c0ede9080ba8eb21441516861631c1,batch_004,iso834,3,True,False
b004_0073,c4d4c8ed06b305dc1bc0f7cd343731f5afd27f2ca0943bf9c2506d5a7056d21b,batch_004,iso834,8,True,False
b004_0074,18e1e23812eb71ea81c6ee485ce96033ba9c081e06915584f65546ab05fe36b3,batch_004,iso834,8,True,False
b004_0075,c4ed79fae14e8069faa3c14a140034f6fc64e865a1c659b3c48671df6c916367,batch_004,iso834,2,True,False
b004_0076,2f271f71be0bf8aabb349a67e31f676e51c1424dfcde0ee46921ccb50b369087,batch_004,iso834,6,True,False
b004_0077,aeb1bd0f86ae1ba1b738737a2119c3fd5a4ea8278168b58d9c8e0709815bf7a5,batch_004,iso834,5,True,False
b004_0078,5c83d736efce202efbdd3c495699d9885e5ccb72140e5a97fd3de1af2562d838,batch_004,iso834,7,True,False
b004_0079,c8da2c01b1a19fcce77428183fe416eeced9ec2ac78539faf363aafaad49c77b,batch_004,iso834,1,True,False
b004_0080,9c056100d0044b81c662005e72db055bc54c3022fcd531051bf325a2f2ff9b96,batch_004,iso834,4,True,False
b004_0081,6abc9ae12be07e0021dd31e3ae9ec9d7b8e18807338dbe1dc65c46de3827ddd7,batch_004,iso834,4,True,False
b004_0082,c47fa87e73497bd986112a0df7293c7b123687e31aa7dcd1388bc3105c36c425,batch_004,iso834,5,True,False
b004_0084,3d481b519e4204ca9b60228ee9e8f39c38fd2605c1b18b6564d14ee7263300fc,batch_004,iso834,3,True,False
b004_0086,c7f1d03f5581a7f997a4ea06350048f6079ba9fe5c1d510ada467ada8fb0119e,batch_004,iso834,8,True,False
b004_0087,fa9c626216cc9f7a102c68b876d5761c92896f22439cda88fa798311c2145b24,batch_004,iso834,7,True,False
b004_0088,83e9c88b903f2b1b312f2fe6d827bdeb514f23b7cf4a3ec6d23fdac998ce6520,batch_004,iso834,2,True,False
b004_0089,357115229a3b37a69467c350265a3ca674a7c695b9c2d1d3c6fd0b4351a795ef,batch_004,iso834,4,True,False
b004_0090,349f23ef1b22a85f10273f6e4f9260e0c045c6bc8ec299c539e4804cc6029826,batch_004,iso834,1,True,False
b004_0091,9d2792658113153d211f14262f2eacc59cc74364f03a018b25c6e9eaff9da8c4,batch_004,iso834,6,True,False
b004_0092,e7b3f3e10d80da14fd537f8a3978e04cc41c4bf85f76a588a406d0729e8141f1,batch_004,iso834,4,True,False
b004_0093,88029f94355bb2ffe82bee3e3bcbc0a0190fb237c77e1621e42b228a57422d8d,batch_004,iso834,8,True,False
b004_0094,3932a1f132801d333cf46bdb07a829f61722f2e0d834ddf1c6a7c23122ee1bd4,batch_004,iso834,5,True,False
b004_0095,9ca5d70bc7010dcdbc90517c217b837423ad5daf9c43c70d195e0e16179b63b5,batch_004,iso834,7,True,False
b004_0096,f11922ac76c95191829ab1273f58242f585ae173e4043fea269f58b850b8fa3b,batch_004,iso834,2,True,False
b004_0097,3ab04b36f543cb943bbe02c28960c03493757db50bd8b47a250a000c21c9383a,batch_004,iso834,1,True,False
b004_0098,350a701542753a213e4276f37cc2f3eb210552f1912d14359e9e2ae1665aeb03,batch_004,iso834,7,True,False
b004_0099,401c7440764c9dd04549ab31aaea986cde530385c5587863d9cfa3b4a82e775c,batch_004,iso834,1,True,False
b004_0100,58a4d5a394fd4c8a5958acf25600c47f7080a8db03729720a694760f60b85de1,batch_004,linear,4,True,False
b004_0101,cb286dce3fb5e4de9ce7cd24a593b3729810700f461d4dea7e7e806081a6c243,batch_004,plateau,7,True,False
b004_0102,1e2c398d2e96316662d5fd4d81ac19d94a131429cfda22abdd263bb316079010,batch_004,linear,5,True,False
b004_0103,8b22d1708b4079c106d004f816bf553840050bec714a6bf56091a5b99886e6b0,batch_004,perturbed_iso,1,True,False
b004_0104,f00494fe132f6b9b03292213294874c2b848442de2b780962f426a230d9a4d0e,batch_004,perturbed_iso,7,True,False
b004_0106,68a631e45d1432b8c277623aa36bd14caa372804b8363ec96ef67ddc8eb20d1c,batch_004,plateau,3,True,False
b004_0108,abc2a324052c3cc3087ab4c4f1450de0f8e15905ddd485eb459d9c3e9814ccb3,batch_004,perturbed_iso,6,True,False
b004_0109,debd7c9185ab510edd681c5997c11fd8429f9ca90c57068d8fc1fefbcb7d1950,batch_004,perturbed_iso,5,True,False
